0 0.597876 -0.801589
14.4 -nan -nan
14.5 -nan -nan
14.6 -nan -nan
14.7 -nan -nan
14.8 -nan -nan
14.9 -nan -nan
15 -nan -nan
15.1 -nan -nan
15.2 -nan -nan
15.3 -nan -nan
15.4 -nan -nan
15.5 -nan -nan
15.6 -nan -nan
15.7 -nan -nan
15.8 -nan -nan
15.9 -nan -nan
16 -nan -nan
16.1 -nan -nan
16.2 -nan -nan
16.3 -nan -nan
16.4 -nan -nan
16.5 -nan -nan
16.6 -nan -nan
16.7 -nan -nan
16.8 -nan -nan
16.9 -nan -nan
17 -nan -nan
17.1 -nan -nan
17.2 -nan -nan
17.3 -nan -nan
17.4 -nan -nan
17.5 -nan -nan
17.6 -nan -nan
17.7 -nan -nan
17.8 -nan -nan
17.9 -nan -nan
18 -nan -nan
18.1 -nan -nan
18.2 -nan -nan
18.3 -nan -nan
18.4 -nan -nan
18.5 -nan -nan
18.6 -nan -nan
18.7 -nan -nan
18.8 -nan -nan
18.9 -nan -nan
19 -nan -nan
19.1 -nan -nan
19.2 -nan -nan
19.3 -nan -nan
19.4 -nan -nan
19.5 -nan -nan
19.6 -nan -nan
19.7 -nan -nan
19.8 -nan -nan
19.9 -nan -nan
20 -nan -nan
20.1 -nan -nan
20.2 -nan -nan
20.3 -nan -nan
20.4 -nan -nan
20.5 -nan -nan
20.6 -nan -nan
20.7 -nan -nan
20.8 -nan -nan
20.9 -nan -nan
21 -nan -nan
21.1 -nan -nan
21.2 -nan -nan
21.3 -nan -nan
21.4 -nan -nan
21.5 -nan -nan
21.6 -nan -nan
21.7 -nan -nan
21.8 -nan -nan
21.9 -nan -nan
22 -nan -nan
22.1 -nan -nan
22.2 -nan -nan
22.3 -nan -nan
22.4 -nan -nan
22.5 -nan -nan
22.6 -nan -nan
22.7 -nan -nan
22.8 -nan -nan
22.9 -nan -nan
23 -nan -nan
23.1 -nan -nan
23.2 -nan -nan
23.3 -nan -nan
23.4 -nan -nan
23.5 -nan -nan
23.6 -nan -nan
23.7 -nan -nan
23.8 -nan -nan
23.9 -nan -nan
24 -nan -nan
24.1 -nan -nan
24.2 -nan -nan
24.3 -nan -nan
24.4 -nan -nan
24.5 -nan -nan
24.6 -nan -nan
24.7 -nan -nan
24.8 -nan -nan
24.9 -nan -nan
25 -nan -nan
25.1 -nan -nan
25.2 -nan -nan
25.3 -nan -nan
25.4 -nan -nan
25.5 -nan -nan
25.6 -nan -nan
25.7 -nan -nan
25.8 -nan -nan
25.9 -nan -nan
26 -nan -nan
26.1 -nan -nan
26.2 -nan -nan
26.3 -nan -nan
26.4 -nan -nan
26.5 -nan -nan
26.6 -nan -nan
26.7 -nan -nan
26.8 -nan -nan
26.9 -nan -nan
27 -nan -nan
27.1 -nan -nan
27.2 -nan -nan
27.3 -nan -nan
27.4 -nan -nan
27.5 -nan -nan
27.6 -nan -nan
27.7 -nan -nan
27.8 -nan -nan
27.9 -nan -nan
28 -nan -nan
28.1 -nan -nan
28.2 -nan -nan
28.3 -nan -nan
28.4 -nan -nan
28.5 -nan -nan
28.6 -nan -nan
28.7 -nan -nan
28.8 -nan -nan
28.9 -nan -nan
29 -nan -nan
29.1 -nan -nan
29.2 -nan -nan
29.3 -nan -nan
29.4 -nan -nan
29.5 -nan -nan
29.6 -nan -nan
29.7 -nan -nan
29.8 -nan -nan
29.9 -nan -nan
